alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.4,0.8,0.4,2.4,0.00546040391213474
0.8,0.2,0.5,1.2,0.005476981441411661
0.1,0.7,0.4,1.4,0.005480421741918872
0.4,0.5,0.6,1.0,0.005489600738681618
0.3,0.2,0.5,1.0,0.0054939751655200516
0.1,0.1,0.3,1.8,0.005495950315479731
0.3,0.1,0.3,2.8,0.005501017120093731
0.3,0.7,0.4,1.4,0.005520082954372392
0.1,0.7,0.4,1.6,0.00552555598998701
0.5,0.3,0.5,1.6,0.005526450301394275
0.1,0.5,0.3,1.8,0.005531155798672498
0.5,0.6,0.5,1.8,0.005535416788004317
0.6,0.3,0.6,1.2,0.005546055992895282
0.5,0.5,0.6,1.2,0.00554793321078616
0.7,0.4,0.5,1.4,0.005555467417079076
0.1,0.9,0.3,2.2,0.0055571259008910965
0.2,0.9,0.5,1.2,0.005564846350249769
0.2,0.8,0.5,1.0,0.005574384741420609
0.3,0.7,0.3,2.8,0.005584570998700223
0.4,0.8,0.5,1.8,0.005599713431827483
0.1,0.8,0.4,1.8,0.005601771747160927
0.8,0.3,0.6,1.0,0.005604201209144367
0.7,0.3,0.4,1.8,0.005618475013736267
0.3,0.1,0.4,1.0,0.005624463846523061
0.6,0.4,0.4,1.8,0.005634191413333328
0.4,0.9,0.6,1.2,0.005639447237210295
0.2,0.7,0.4,1.2,0.005639797576447317
0.5,0.6,0.4,2.0,0.005643352255708371
0.4,0.9,0.5,1.8,0.005647157465676373
0.7,0.1,0.4,1.4,0.005654031383211794
0.9,0.2,0.6,1.0,0.005669011466507833
0.6,0.5,0.4,2.2,0.00567900402505904
0.6,0.5,0.5,1.8,0.005681590053272576
0.4,0.1,0.3,1.8,0.005696945454233421
0.5,0.7,0.5,1.8,0.005698633170707353
0.1,0.1,0.3,2.0,0.005701206408388872
0.6,0.3,0.5,1.0,0.005702402163543795
0.8,0.3,0.5,1.4,0.005706593287611423
0.7,0.4,0.4,2.2,0.005708841317595292
0.6,0.5,0.4,2.4,0.005713618603892333
0.3,0.9,0.4,2.6,0.005714604925157795
0.1,0.2,0.3,2.4,0.0057275150730433195
0.2,0.1,0.3,1.6,0.005735689334201326
0.6,0.3,0.3,2.6,0.005741606263320832
0.7,0.4,0.4,2.4,0.005747143313944007
0.2,0.8,0.4,2.4,0.005750707632456516
0.7,0.2,0.4,2.4,0.005753292475047074
0.3,0.8,0.4,2.6,0.005762538905245948
0.5,0.8,0.5,1.6,0.005776851414941838
0.3,0.5,0.5,1.4,0.005783502031252817
0.7,0.1,0.5,1.6,0.005798698998765201
0.4,0.7,0.4,2.6,0.0058019612025196855
0.4,0.8,0.4,2.0,0.005802269193052383
0.5,0.2,0.6,1.0,0.005812493796919816
0.3,0.4,0.4,2.2,0.005813967203147923
0.6,0.6,0.5,1.6,0.005833413926440486
0.7,0.5,0.6,1.2,0.005852908980025135
0.7,0.1,0.3,2.2,0.0058534833024043624
0.4,0.5,0.3,2.6,0.00586303172056866
0.7,0.4,0.5,1.8,0.005885678633664849
0.5,0.5,0.5,1.0,0.005887218463634451
0.2,0.1,0.4,1.2,0.005892205613339097
0.4,0.1,0.5,1.2,0.0058929477741926075
